,EPO127.mgat1.,EPO174.mgat2.,EPO266.fut8.,st3gal4.st3gal6.mgat4a.mgat4b.mgat5,KI_ST6GalNAc1.st3gal4.st3gal6.mgat4a.mgat4b.mgat5,mgat4A.mgat4B.mgat5,B3gnt2.mgat4a.mgat4b.mgat5,st3gal4.st3gal6,B4GalT1,B4GalT2,B4GalT3,WT,B4GalT4,EPO78.mgat4B.,mgat4A.mgat4B,mgat5
729,0.0,0.0,0.019603327672068856,0.020968625303184413,0.0,0.0,0.0,0.06070963541666667,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.006296915578640292,0.0
740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20876924275070743,0.8196196827685651,0.8785693833459147,0.8934955882835307,0.9355370298565335,0.9152514872904274,0.4217866163862108,0.6678368611254518
748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2440227408426573,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2563017574829314,0.6609589041095889,0.6957336595777911,0.802177977498606,0.9037902287708415,0.1533261222282315,0.6950087160695861,0.5162622612287042
751,0.0,0.0,0.07602406517170904,0.0,0.0,0.022814237239188507,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
752,0.0,0.48765107724645296,0.07602406517170904,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
800,0.0,0.0,0.09562739284377789,0.0,0.0,0.0,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
810,0.0,0.0,0.0,0.0,0.0,0.022814237239188507,0.0,0.0,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
814,0.0,0.48765107724645296,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
909,0.0,0.0,0.8349981289041135,0.0,0.0,0.0,0.0,0.0,0.20876924275070743,0.5387076423936552,0.535908582138116,0.627939777610129,0.9037902287708415,0.1533261222282315,0.3557579422960617,0.5162622612287042
915,0.0,0.0,0.0,0.020968625303184413,0.0,0.0,0.0,0.06070963541666667,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.006296915578640292,0.0
920,0.0,0.0,0.0,0.07362491197871841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
923,0.0,0.0,0.09562739284377789,0.0,0.0,0.0,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.0,0.0,0.0
924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6915690104166666,0.11635211962306276,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20876924275070743,0.6973684210526314,0.7187443059062395,0.7192573883950537,0.9355370298565335,0.8447268793942673,0.4217866163862108,0.6678368611254518
928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20876924275070743,0.6609589041095889,0.6957336595777911,0.802177977498606,0.9037902287708415,0.1533261222282315,0.6950087160695861,0.5162622612287042
930,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15768022637003196,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20521274110225593,0.5192411679884642,0.5833615326548143,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
985,0.0,0.0,0.0,0.0,0.0,0.022814237239188507,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
986,0.0,0.48765107724645296,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
1109,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.0,0.11635211962306276,0.4298846431146358,0.4850456829007992,0.627939777610129,0.7520356727413726,0.0,0.0,0.0
1110,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.0,0.11635211962306276,0.5192411679884642,0.5833615326548143,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
1111,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.0,0.15768022637003196,0.39698990627253056,0.4235364552151392,0.627939777610129,0.7520356727413726,0.0,0.0,0.0
1118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28466796875000006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.0,0.0,0.0
1119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15768022637003196,0.4298846431146358,0.4850456829007992,0.627939777610129,0.7520356727413726,0.0,0.0,0.0
1120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20876924275070743,0.5387076423936552,0.535908582138116,0.627939777610129,0.9037902287708415,0.1533261222282315,0.3557579422960617,0.5162622612287042
1121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15768022637003196,0.5192411679884642,0.5833615326548143,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
1122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11635211962306276,0.5521359048305694,0.6448707603404743,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
1134,0.0,0.0,0.09562739284377789,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
1158,0.0,0.0,0.09562739284377789,0.0,0.0,0.0,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.0,0.0,0.0
1251,0.0,0.0,0.019603327672068856,0.0,0.0,0.0,0.0,0.06070963541666667,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.006296915578640292,0.0
1296,0.0,0.0,0.5952387806212038,0.0,0.0,0.0,0.0,0.0,0.11635211962306276,0.39698990627253056,0.4235364552151392,0.627939777610129,0.7520356727413726,0.0,0.0,0.0
1298,0.0,0.0,0.0,0.020968625303184413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11635211962306276,0.4298846431146358,0.4850456829007992,0.627939777610129,0.7520356727413726,0.0,0.0,0.0
1302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11635211962306276,0.5192411679884642,0.5833615326548143,0.802177977498606,0.7520356727413726,0.0,0.0,0.0
1303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15768022637003196,0.39698990627253056,0.4235364552151392,0.627939777610129,0.7520356727413726,0.0,0.0,0.0
1305,0.0,0.0,0.07602406517170904,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
1326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27062988281250006,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.0,0.0,0.0
1327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.5408328826392645,0.06602867409014905,0.01109963861641714
1407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06070963541666667,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.006296915578640292,0.0
1455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11635211962306276,0.39698990627253056,0.4235364552151392,0.627939777610129,0.7520356727413726,0.0,0.0,0.0
1467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.5408328826392645,0.05973175851150876,0.01109963861641714
1479,0.0,0.0,0.28786090561040906,0.0,0.0,0.0,0.0,0.0,0.06253731730744269,0.15683579668348951,0.13842829997136685,0.24305441663659919,0.48468398604110124,0.0,0.0,0.0
1535,0.0,0.0,0.019603327672068856,0.0,0.0,0.0,0.0,0.06070963541666667,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.0,0.0
1568,0.0,0.0,0.0,0.003677333541976371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1571,0.0,0.0,0.09562739284377789,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.014847692862292717,0.024806726188926778,0.05687670154492079,0.05370298565335402,0.0,0.0,0.0
1572,0.0,0.0,0.07602406517170904,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.0,0.0,0.0
1578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.04774242970439797,0.08631595387458678,0.05687670154492079,0.05370298565335402,0.0,0.0,0.0
1584,0.0,0.0,0.019603327672068856,0.0,0.0,0.0,0.0,0.0,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.006296915578640292,0.0
1618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06070963541666667,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.0,0.0
1640,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06253731730744269,0.15683579668348951,0.13842829997136685,0.24305441663659919,0.48468398604110124,0.0,0.0,0.0
1641,0.0,0.0,0.07602406517170904,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.013405731795241528,0.021526928182835726,0.04952930757371995,0.048468398604110126,0.0,0.0,0.0
1643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.014847692862292717,0.024806726188926778,0.05687670154492079,0.05370298565335402,0.0,0.0,0.0
1644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.046300468637346784,0.08303615586849572,0.04952930757371995,0.048468398604110126,0.0,0.0,0.0
1647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.006296915578640292,0.0
1679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01186365878352068,0.013405731795241528,0.021526928182835726,0.04952930757371995,0.048468398604110126,0.0,0.0,0.0
1695,0.0,0.0,0.019603327672068856,0.0,0.0,0.0,0.0,0.0,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.0,0.0
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014419610670511893,0.0032797980060910534,0.00734739397120084,0.005234587049243893,0.0,0.0,0.0
